date,open,high,low,close,,,
11/27/2023,454.65,455.4901,454.0799,454.48,,,
11/28/2023,454.08,456.27,453.5,454.93,,,
11/29/2023,457.15,458.32,454.2,454.61,,,
11/30/2023,455.48,456.76,453.34,456.4,,,
12/1/2023,455.77,459.65,455.16,459.1,,,
12/4/2023,455.6,459.1206,454.34,456.69,,,
12/5/2023,455.26,457.59,454.87,456.6,,,
12/6/2023,458.81,458.84,454.31,454.76,,,
12/7/2023,456.91,458.9,456.29,458.23,,,
12/8/2023,457.46,460.745,457.21,460.2,,,
12/11/2023,459.69,462.17,459.47,461.99,,,
12/12/2023,461.63,464.2,460.6,464.1,,,
12/13/2023,464.49,470.7599,464.12,470.5,,,
12/14/2023,472.5,473.73,469.25,472.01,,,
12/15/2023,469.49,470.7,467.4263,469.33,,,
12/18/2023,470.98,472.98,469.8929,471.97,,,
12/19/2023,472.53,474.92,472.45,474.84,,,
12/20/2023,473.96,475.895,467.82,468.26,,,
12/21/2023,471.33,472.975,468.84,472.7,,,
12/22/2023,473.86,475.38,471.7,473.65,,,
12/26/2023,474.07,476.58,473.99,475.65,,,
12/27/2023,475.44,476.66,474.89,476.51,,,
12/28/2023,476.88,477.55,476.26,476.69,,,
12/29/2023,476.49,477.03,473.3,475.31,,,
1/2/2024,472.16,473.67,470.49,472.65,,,
1/3/2024,470.43,471.19,468.17,468.79,,,
1/4/2024,468.3,470.96,467.05,467.28,,,
1/5/2024,467.49,470.44,466.43,467.92,,,
1/8/2024,468.43,474.75,468.3,474.6,,,
1/9/2024,471.87,474.93,471.35,473.88,,,
1/10/2024,474.16,477.4481,473.87,476.56,,,
1/11/2024,477.59,478.12,472.26,476.35,,,
1/12/2024,477.84,478.6,475.23,476.68,,,
1/16/2024,475.26,476.6098,473.06,474.93,,,
1/17/2024,471.82,472.79,469.87,472.29,,,
1/18/2024,474.01,477.06,472.42,476.49,,,
1/19/2024,477.65,482.72,476.5374,482.43,,,
1/22/2024,484.01,485.22,482.78,483.45,,,
1/23/2024,484.01,485.105,482.89,484.86,,,
1/24/2024,487.81,488.77,484.8819,485.39,,,
1/25/2024,487.575,488.305,485.39,488.03,,,
1/26/2024,487.59,489.12,486.54,487.41,,,
1/29/2024,487.73,491.415,487.17,491.27,,,
1/30/2024,490.56,491.62,490.11,490.89,,,
1/31/2024,488.62,489.0813,482.86,482.88,,,
2/1/2024,484.63,489.23,483.8,489.2,,,
2/2/2024,489.65,496.05,489.3,494.35,,,
2/5/2024,493.695,494.3778,490.23,492.55,,,
2/6/2024,493.52,494.32,492.05,493.98,,,
2/7/2024,496.29,498.53,495.36,498.1,,,
2/8/2024,498.1,498.71,497.26,498.32,,,
